"GEO_ID","NAME","P009001","P009002","P009003","P009004","P009005","P009006","P009007"
"id","Label for GEO_ID","Total races tallied","Total races tallied!!White alone or in combination with one or more other races","Total races tallied!!Black or African American alone or in combination with one or more other races","Total races tallied!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied!!Asian alone or in combination with one or more other races","Total races tallied!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied!!Some other race alone or in combination with one or more other races"
"0500000US06041","Marin County, California","256552","215479","8549","2684","14263","926","14651"
"0500000US06043","Mariposa County, California","17732","15776","143","956","214","49","594"
"0500000US06045","Mendocino County, California","89860","72715","880","5734","1513","291","8727"
"0500000US06047","Merced County, California","223075","128172","9418","4751","16841","1061","62832"
"0500000US06049","Modoc County, California","9733","8374","90","552","93","17","607"
"0500000US06051","Mono County, California","13155","11074","94","410","213","39","1325"
"0500000US06053","Monterey County, California","423293","241131","17895","7656","30939","3336","122336"
"0500000US06055","Napa County, California","129207","103561","2024","2279","4831","612","15900"
"0500000US06057","Nevada County, California","94648","88228","459","2057","1189","253","2462"
"0500000US06059","Orange County, California","2969789","1945080","59426","37584","423911","16666","487122"
"0500000US06061","Placer County, California","256843","227397","2845","4740","9765","996","11100"
"0500000US06063","Plumas County, California","21395","19630","171","866","190","40","498"
"0500000US06065","Riverside County, California","1617383","1070541","108620","31948","71355","7593","327326"
"0500000US06067","Sacramento County, California","1301263","837945","139495","30649","159302","13935","119937"
"0500000US06069","San Benito County, California","56168","37059","791","1189","1954","247","14928"
"0500000US06071","San Bernardino County, California","1800671","1077973","171461","37491","97340","9362","407044"
"0500000US06073","San Diego County, California","2955750","1979176","186679","46177","295346","24524","423848"
"0500000US06075","San Francisco County, California","812981","411427","67076","8971","253477","6273","65757"
"0500000US06077","San Joaquin County, California","600209","353443","42459","13070","76656","4588","109993"
"0500000US06079","San Luis Obispo County, California","255822","216293","5995","5084","8839","760","18851"
"0500000US06081","San Mateo County, California","745140","448881","28947","7504","156605","13803","89400"
